Código concatenado,Código de Departamento,Descripción de Departamento,Código de Distrito,Descripción de Distrito,Área,Código de Barrio/Localidad,Descripción de Barrio/Localidad
0000001,00,ASUNCIÓN,00,ASUNCIÓN,1,001,SAJONIA
0000002,00,ASUNCIÓN,00,ASUNCIÓN,1,002,SAN ANTONIO
0000003,00,ASUNCIÓN,00,ASUNCIÓN,1,003,DR. GASPAR RODRÍGUEZ DE FRANCIA
0000004,00,ASUNCIÓN,00,ASUNCIÓN,1,004,ITA PYTA PUNTA
0000005,00,ASUNCIÓN,00,ASUNCIÓN,1,005,LA ENCARNACIÓN
0000006,00,ASUNCIÓN,00,ASUNCIÓN,1,006,TACUMBU
0000007,00,ASUNCIÓN,00,ASUNCIÓN,1,007,JUKYTY
0000008,00,ASUNCIÓN,00,ASUNCIÓN,1,008,LA CATEDRAL
0000009,00,ASUNCIÓN,00,ASUNCIÓN,1,009,GENERAL JOSÉ EDUVIGIS DÍAZ
0000010,00,ASUNCIÓN,00,ASUNCIÓN,1,010,OBRERO INTENDENTE B. GUGGIARI
0000011,00,ASUNCIÓN,00,ASUNCIÓN,1,011,ROBERTO L. PETIT
0000012,00,ASUNCIÓN,00,ASUNCIÓN,1,012,RICARDO BRUGADA
0000013,00,ASUNCIÓN,00,ASUNCIÓN,1,013,SAN ROQUE
0000014,00,ASUNCIÓN,00,ASUNCIÓN,1,014,TTE. SILVIO PETTIROSSI
0000015,00,ASUNCIÓN,00,ASUNCIÓN,1,015,SAN VICENTE
0000016,00,ASUNCIÓN,00,ASUNCIÓN,1,016,PINOZA
0000017,00,ASUNCIÓN,00,ASUNCIÓN,1,017,VISTA ALEGRE
0000018,00,ASUNCIÓN,00,ASUNCIÓN,1,018,MBURICAO
0000019,00,ASUNCIÓN,00,ASUNCIÓN,1,019,GENERAL BERNARDINO CABALLERO
0000020,00,ASUNCIÓN,00,ASUNCIÓN,1,020,CIUDAD NUEVA
0000021,00,ASUNCIÓN,00,ASUNCIÓN,1,021,LAS MERCEDES
0000022,00,ASUNCIÓN,00,ASUNCIÓN,1,022,BAÑADO CARA CARA
0000023,00,ASUNCIÓN,00,ASUNCIÓN,1,023,JARA
0000024,00,ASUNCIÓN,00,ASUNCIÓN,1,024,MARISCAL FRANCISCO SOLANO LÓPEZ
0000025,00,ASUNCIÓN,00,ASUNCIÓN,1,025,VIRGEN DEL HUERTO
0000026,00,ASUNCIÓN,00,ASUNCIÓN,1,026,BANCO SAN MIGUEL
0000027,00,ASUNCIÓN,00,ASUNCIÓN,1,027,SAN CAYETANO
0000028,00,ASUNCIÓN,00,ASUNCIÓN,1,028,REPUBLICANO
0000029,00,ASUNCIÓN,00,ASUNCIÓN,1,029,SANTA ANA
0000030,00,ASUNCIÓN,00,ASUNCIÓN,1,030,ITA ENRAMADA
0000031,00,ASUNCIÓN,00,ASUNCIÓN,1,031,SANTA LIBRADA
0000032,00,ASUNCIÓN,00,ASUNCIÓN,1,032,DE LA RESIDENTA
0000033,00,ASUNCIÓN,00,ASUNCIÓN,1,033,PRESIDENTE CARLOS ANTONIO LÓPEZ
0000034,00,ASUNCIÓN,00,ASUNCIÓN,1,034,NAZARETH
0000035,00,ASUNCIÓN,00,ASUNCIÓN,1,035,TERMINAL
0000036,00,ASUNCIÓN,00,ASUNCIÓN,1,036,HIPÓDROMO
0000037,00,ASUNCIÓN,00,ASUNCIÓN,1,037,SAN PABLO
0000038,00,ASUNCIÓN,00,ASUNCIÓN,1,038,VILLA AURELIA
0000039,00,ASUNCIÓN,00,ASUNCIÓN,1,039,LOS LAURELES
0000040,00,ASUNCIÓN,00,ASUNCIÓN,1,040,TEMBETARY
0000041,00,ASUNCIÓN,00,ASUNCIÓN,1,041,RECOLETA
0000042,00,ASUNCIÓN,00,ASUNCIÓN,1,042,VILLA MORRA
0000043,00,ASUNCIÓN,00,ASUNCIÓN,1,043,MARISCAL JOSÉ FÉLIX ESTIGARRIBIA
0000044,00,ASUNCIÓN,00,ASUNCIÓN,1,044,SAN CRISTÓBAL
0000045,00,ASUNCIÓN,00,ASUNCIÓN,1,045,YKUA SATI
0000046,00,ASUNCIÓN,00,ASUNCIÓN,1,046,LUIS ALBERTO DE HERRERA
0000047,00,ASUNCIÓN,00,ASUNCIÓN,1,047,SANTA MARÍA
0000048,00,ASUNCIÓN,00,ASUNCIÓN,1,048,YTAY
0000049,00,ASUNCIÓN,00,ASUNCIÓN,1,049,SAN JORGE
0000050,00,ASUNCIÓN,00,ASUNCIÓN,1,050,TABLADA NUEVA
0000051,00,ASUNCIÓN,00,ASUNCIÓN,1,051,VIRGEN DE FÁTIMA
0000052,00,ASUNCIÓN,00,ASUNCIÓN,1,052,SANTA ROSA
0000053,00,ASUNCIÓN,00,ASUNCIÓN,1,053,VIRGEN DE LA ASUNCIÓN
0000054,00,ASUNCIÓN,00,ASUNCIÓN,1,054,BELLA VISTA
0000055,00,ASUNCIÓN,00,ASUNCIÓN,1,055,SANTO DOMINGO
0000056,00,ASUNCIÓN,00,ASUNCIÓN,1,056,CAÑADA DEL YVYRAY
0000057,00,ASUNCIÓN,00,ASUNCIÓN,1,057,SANTISIMA TRINIDAD
0000058,00,ASUNCIÓN,00,ASUNCIÓN,1,058,MANORA
0000059,00,ASUNCIÓN,00,ASUNCIÓN,1,059,LAS LOMAS
0000060,00,ASUNCIÓN,00,ASUNCIÓN,1,060,MBURUCUYA
0000061,00,ASUNCIÓN,00,ASUNCIÓN,1,061,MADAME ELISA ALICIA LINCH
0000062,00,ASUNCIÓN,00,ASUNCIÓN,1,062,SALVADOR DEL MUNDO
0000063,00,ASUNCIÓN,00,ASUNCIÓN,1,063,MBOCAYATY
0000064,00,ASUNCIÓN,00,ASUNCIÓN,1,064,ÑU GUASU
0000065,00,ASUNCIÓN,00,ASUNCIÓN,1,065,LOMA PYTA
0000066,00,ASUNCIÓN,00,ASUNCIÓN,1,066,SAN BLAS
0000067,00,ASUNCIÓN,00,ASUNCIÓN,1,067,BOTÁNICO
0000068,00,ASUNCIÓN,00,ASUNCIÓN,1,068,ZEBALLOS KUE
0101001,01,CONCEPCIÓN,01,CONCEPCIÓN,1,001,SAN JOSÉ OLERO
0101002,01,CONCEPCIÓN,01,CONCEPCIÓN,1,002,DEL BAÑADO
0101003,01,CONCEPCIÓN,01,CONCEPCIÓN,1,003,SAN AGUSTÍN
0101004,01,CONCEPCIÓN,01,CONCEPCIÓN,1,004,SAN LUIS
0101005,01,CONCEPCIÓN,01,CONCEPCIÓN,1,005,VILLA ALTA
0101006,01,CONCEPCIÓN,01,CONCEPCIÓN,1,006,INMACULADA
0101007,01,CONCEPCIÓN,01,CONCEPCIÓN,1,007,VILLA ARMANDO
0101009,01,CONCEPCIÓN,01,CONCEPCIÓN,1,009,ITACURUBÍ
0101010,01,CONCEPCIÓN,01,CONCEPCIÓN,1,010,CENTRO
0101011,01,CONCEPCIÓN,01,CONCEPCIÓN,1,011,SAN ANTONIO
0101015,01,CONCEPCIÓN,01,CONCEPCIÓN,1,015,PRIMAVERA
0101016,01,CONCEPCIÓN,01,CONCEPCIÓN,1,016,FÁTIMA
0101017,01,CONCEPCIÓN,01,CONCEPCIÓN,1,017,SAN FRANCISCO
0101018,01,CONCEPCIÓN,01,CONCEPCIÓN,1,018,SAN ANTONIO DE GUZMÁN
0101019,01,CONCEPCIÓN,01,CONCEPCIÓN,1,019,ASENT. SAN FRANCISCO
0101020,01,CONCEPCIÓN,01,CONCEPCIÓN,1,020,SANTA RITA
0101021,01,CONCEPCIÓN,01,CONCEPCIÓN,1,021,BOQUERÓN
0101022,01,CONCEPCIÓN,01,CONCEPCIÓN,1,022,SAN ROQUE
0101023,01,CONCEPCIÓN,01,CONCEPCIÓN,1,023,COM INDIG REDENCIÓN
0101024,01,CONCEPCIÓN,01,CONCEPCIÓN,1,024,VILLA REDENCIÓN
0101025,01,CONCEPCIÓN,01,CONCEPCIÓN,1,025,SAN CARLOS
0101026,01,CONCEPCIÓN,01,CONCEPCIÓN,1,026,VILLA OLIVA
0101027,01,CONCEPCIÓN,01,CONCEPCIÓN,1,027,SAN JORGE
0101028,01,CONCEPCIÓN,01,CONCEPCIÓN,1,028,SANTO DOMINGO SAVIO
0101029,01,CONCEPCIÓN,01,CONCEPCIÓN,1,029,INDUSTRIAL
0101030,01,CONCEPCIÓN,01,CONCEPCIÓN,1,030,SAGRADA FAMILIA
0101031,01,CONCEPCIÓN,01,CONCEPCIÓN,1,031,ASENT. SANTA MARÍA
0101100,01,CONCEPCIÓN,01,CONCEPCIÓN,6,100,CAACUPEMI
0101110,01,CONCEPCIÓN,01,CONCEPCIÓN,6,110,CIUDAD NUEVA
0101120,01,CONCEPCIÓN,01,CONCEPCIÓN,6,120,SALADILLO
0101130,01,CONCEPCIÓN,01,CONCEPCIÓN,6,130,SAN CARLOS
0101160,01,CONCEPCIÓN,01,CONCEPCIÓN,6,160,PANCHITO LÓPEZ
0101190,01,CONCEPCIÓN,01,CONCEPCIÓN,6,190,SAN BLAS
0101200,01,CONCEPCIÓN,01,CONCEPCIÓN,6,200,MARÍA AUXILIADORA
0101210,01,CONCEPCIÓN,01,CONCEPCIÓN,6,210,SANTA ROSA 1
0101220,01,CONCEPCIÓN,01,CONCEPCIÓN,6,220,SAN JUAN 2
0101230,01,CONCEPCIÓN,01,CONCEPCIÓN,6,230,RINCÓN I
0101240,01,CONCEPCIÓN,01,CONCEPCIÓN,6,240,POTRERO ROMERO
0101250,01,CONCEPCIÓN,01,CONCEPCIÓN,6,250,KO'E PORA
0101260,01,CONCEPCIÓN,01,CONCEPCIÓN,6,260,COSTA PUKU
0101270,01,CONCEPCIÓN,01,CONCEPCIÓN,6,270,SAN RAMÓN
0101290,01,CONCEPCIÓN,01,CONCEPCIÓN,6,290,SAN LUIS
0101300,01,CONCEPCIÓN,01,CONCEPCIÓN,6,300,LAGUNA PLATO
0101310,01,CONCEPCIÓN,01,CONCEPCIÓN,6,310,HUGUA GONZÁLEZ
0101330,01,CONCEPCIÓN,01,CONCEPCIÓN,6,330,PASO HORQUETA
0101390,01,CONCEPCIÓN,01,CONCEPCIÓN,6,390,COLONIA ROBERTO L PETIT
0101400,01,CONCEPCIÓN,01,CONCEPCIÓN,6,400,PRIMAVERA
0101620,01,CONCEPCIÓN,01,CONCEPCIÓN,6,620,BANCO CHACO'I
0101645,01,CONCEPCIÓN,01,CONCEPCIÓN,6,645,CARLOS ANTONIO LÓPEZ
0101650,01,CONCEPCIÓN,01,CONCEPCIÓN,6,650,HUGUA IBAÑEZ
0101655,01,CONCEPCIÓN,01,CONCEPCIÓN,6,655,SAN NICOLÁS
0101660,01,CONCEPCIÓN,01,CONCEPCIÓN,6,660,PIO X
0101665,01,CONCEPCIÓN,01,CONCEPCIÓN,6,665,SAN FRANCISCO
0101670,01,CONCEPCIÓN,01,CONCEPCIÓN,6,670,SAN JUAN 1
0101675,01,CONCEPCIÓN,01,CONCEPCIÓN,6,675,COSTA FERREIRA
0101680,01,CONCEPCIÓN,01,CONCEPCIÓN,6,680,SAGRADA FAMILIA
0101685,01,CONCEPCIÓN,01,CONCEPCIÓN,6,685,KURUSU ISABEL
0101690,01,CONCEPCIÓN,01,CONCEPCIÓN,6,690,DE LAS FLORES
0101695,01,CONCEPCIÓN,01,CONCEPCIÓN,6,695,CALLEJÓN LAGUNA
0101700,01,CONCEPCIÓN,01,CONCEPCIÓN,6,700,PASO ITA
0101705,01,CONCEPCIÓN,01,CONCEPCIÓN,6,705,SAN ANTONIO
0101710,01,CONCEPCIÓN,01,CONCEPCIÓN,6,710,KURUSU ÑU
0101715,01,CONCEPCIÓN,01,CONCEPCIÓN,6,715,HUGUA TADEO
0101720,01,CONCEPCIÓN,01,CONCEPCIÓN,6,720,SAN JOSÉ OBRERO
0101725,01,CONCEPCIÓN,01,CONCEPCIÓN,6,725,BOQUERÓN
0101730,01,CONCEPCIÓN,01,CONCEPCIÓN,6,730,SANTA LUCÍA
0101735,01,CONCEPCIÓN,01,CONCEPCIÓN,6,735,COLONIA RECONSTRUCCIÓN
0101745,01,CONCEPCIÓN,01,CONCEPCIÓN,6,745,SANTA ROSA 2
0101750,01,CONCEPCIÓN,01,CONCEPCIÓN,6,750,HUGUA ZARZA
0101755,01,CONCEPCIÓN,01,CONCEPCIÓN,6,755,SAN JOSÉ PIRITY
0101815,01,CONCEPCIÓN,01,CONCEPCIÓN,6,815,PASO HORQUETA - SANTA LUCÍA
0101825,01,CONCEPCIÓN,01,CONCEPCIÓN,6,825,CÁNDIDO SILVA KILÓMETRO 10
0101830,01,CONCEPCIÓN,01,CONCEPCIÓN,6,830,PUEBLO RA
0101835,01,CONCEPCIÓN,01,CONCEPCIÓN,6,835,COLONIA CORONEL MONGELÓS
0101840,01,CONCEPCIÓN,01,CONCEPCIÓN,6,840,MBOKAJATY
0102001,01,CONCEPCIÓN,02,BELÉN,1,001,VIRGEN DE LA PAZ
0102002,01,CONCEPCIÓN,02,BELÉN,1,002,SALVADOR DEL MUNDO
0102003,01,CONCEPCIÓN,02,BELÉN,1,003,SANTO DOMINGO
0102004,01,CONCEPCIÓN,02,BELÉN,1,004,SAN RAFAEL
0102005,01,CONCEPCIÓN,02,BELÉN,1,005,SAGRADA FAMILIA
0102006,01,CONCEPCIÓN,02,BELÉN,1,006,MARÍA AUXILIADORA
0102130,01,CONCEPCIÓN,02,BELÉN,6,130,SAN FELIPE
0102150,01,CONCEPCIÓN,02,BELÉN,6,150,HÍPICO
0102160,01,CONCEPCIÓN,02,BELÉN,6,160,COLONIA SAN ANTONIO
0102170,01,CONCEPCIÓN,02,BELÉN,6,170,SAN LUIS
0102190,01,CONCEPCIÓN,02,BELÉN,6,190,REQUEJO
0102200,01,CONCEPCIÓN,02,BELÉN,6,200,POTRERITO
0102210,01,CONCEPCIÓN,02,BELÉN,6,210,SAN MIGUEL
0102220,01,CONCEPCIÓN,02,BELÉN,6,220,SANTA ELENA
0102250,01,CONCEPCIÓN,02,BELÉN,6,250,NIÑO SALVADOR
0102260,01,CONCEPCIÓN,02,BELÉN,6,260,MBOREVI YGUA
0102270,01,CONCEPCIÓN,02,BELÉN,6,270,SANTA LUCÍA
0102280,01,CONCEPCIÓN,02,BELÉN,6,280,SANTO TOMÁS
0102290,01,CONCEPCIÓN,02,BELÉN,6,290,SANTA CRUZ
0102300,01,CONCEPCIÓN,02,BELÉN,6,300,PEGUAHO MI
0102320,01,CONCEPCIÓN,02,BELÉN,6,320,SANTA LIBRADA
0102330,01,CONCEPCIÓN,02,BELÉN,6,330,LEMOS
0102340,01,CONCEPCIÓN,02,BELÉN,6,340,FÁTIMA
0102350,01,CONCEPCIÓN,02,BELÉN,6,350,CAACUPEMI
0102360,01,CONCEPCIÓN,02,BELÉN,6,360,COLONIA SAN MARTÍN
0102370,01,CONCEPCIÓN,02,BELÉN,6,370,PASO URUNDEY
0102380,01,CONCEPCIÓN,02,BELÉN,6,380,SANTA CECILIA
0102390,01,CONCEPCIÓN,02,BELÉN,6,390,SAN FRANCISCO
0102400,01,CONCEPCIÓN,02,BELÉN,6,400,KILÓMETRO 16
0102410,01,CONCEPCIÓN,02,BELÉN,6,410,6 DE AGOSTO
0102420,01,CONCEPCIÓN,02,BELÉN,6,420,ASENT. SANTA ROSA
0102430,01,CONCEPCIÓN,02,BELÉN,6,430,8 DE DICIEMBRE
0102440,01,CONCEPCIÓN,02,BELÉN,6,440,COM INDIG AYVU PORA
0103001,01,CONCEPCIÓN,03,HORQUETA,1,001,SAN ROQUE
0103002,01,CONCEPCIÓN,03,HORQUETA,1,002,INMACULADA
0103003,01,CONCEPCIÓN,03,HORQUETA,1,003,FÁTIMA
0103004,01,CONCEPCIÓN,03,HORQUETA,1,004,LAS MERCEDES
0103005,01,CONCEPCIÓN,03,HORQUETA,1,005,LAS PALMAS
0103006,01,CONCEPCIÓN,03,HORQUETA,1,006,SAN ANTONIO
0103007,01,CONCEPCIÓN,03,HORQUETA,1,007,MARÍA AUXILIADORA
0103100,01,CONCEPCIÓN,03,HORQUETA,6,100,NARANJATY'I
0103105,01,CONCEPCIÓN,03,HORQUETA,6,105,SAGRADA FAMILIA 1
0103110,01,CONCEPCIÓN,03,HORQUETA,6,110,YKUA HOVY
0103115,01,CONCEPCIÓN,03,HORQUETA,6,115,SAN SEBASTIÁN
0103120,01,CONCEPCIÓN,03,HORQUETA,6,120,SAN CARLOS PIRITY
0103125,01,CONCEPCIÓN,03,HORQUETA,6,125,SANTA TERESITA
0103130,01,CONCEPCIÓN,03,HORQUETA,6,130,HUGUA OCAMPOS
0103135,01,CONCEPCIÓN,03,HORQUETA,6,135,MARÍA AUXILIADORA 1
0103140,01,CONCEPCIÓN,03,HORQUETA,6,140,SAN JORGE
0103145,01,CONCEPCIÓN,03,HORQUETA,6,145,NARANJATY GUASU
0103170,01,CONCEPCIÓN,03,HORQUETA,6,170,SALINAS KUE
0103175,01,CONCEPCIÓN,03,HORQUETA,6,175,ASENT. MARÍA AUXILIADORA
0103180,01,CONCEPCIÓN,03,HORQUETA,6,180,COSTA CLAVEL
0103185,01,CONCEPCIÓN,03,HORQUETA,6,185,SAN PEDRO
0103190,01,CONCEPCIÓN,03,HORQUETA,6,190,BRASIL KUE
0103195,01,CONCEPCIÓN,03,HORQUETA,6,195,SAN ROQUE
0103210,01,CONCEPCIÓN,03,HORQUETA,6,210,EGUA
0103215,01,CONCEPCIÓN,03,HORQUETA,6,215,CARAGUATAY
0103220,01,CONCEPCIÓN,03,HORQUETA,6,220,BELÉN KUE
0103225,01,CONCEPCIÓN,03,HORQUETA,6,225,SANTA ROSA
0103230,01,CONCEPCIÓN,03,HORQUETA,6,230,SANTO DOMINGO 1
0103235,01,CONCEPCIÓN,03,HORQUETA,6,235,SAN ANTONIO 1
0103240,01,CONCEPCIÓN,03,HORQUETA,6,240,MARÍA AUXILIADORA 2
0103245,01,CONCEPCIÓN,03,HORQUETA,6,245,ALFONSO KUE
0103250,01,CONCEPCIÓN,03,HORQUETA,6,250,CRISTO REY
0103255,01,CONCEPCIÓN,03,HORQUETA,6,255,COLONIA EX COMBATIENTE
0103300,01,CONCEPCIÓN,03,HORQUETA,6,300,KILÓMETRO 31 SAN MARCOS
0103305,01,CONCEPCIÓN,03,HORQUETA,6,305,SAN MIGUEL 2
0103310,01,CONCEPCIÓN,03,HORQUETA,6,310,KILÓMETRO 34 SAN PEDRO
0103315,01,CONCEPCIÓN,03,HORQUETA,6,315,KURUPA'Y LOMA
0103320,01,CONCEPCIÓN,03,HORQUETA,6,320,PEGUAHO LOMA
0103325,01,CONCEPCIÓN,03,HORQUETA,6,325,SAN AGUSTÍN
0103340,01,CONCEPCIÓN,03,HORQUETA,6,340,SAN JOSÉ
0103345,01,CONCEPCIÓN,03,HORQUETA,6,345,NÚCLEO 6
0103360,01,CONCEPCIÓN,03,HORQUETA,6,360,PEGUAHO GUASU
0103365,01,CONCEPCIÓN,03,HORQUETA,6,365,15 DE AGOSTO
0103370,01,CONCEPCIÓN,03,HORQUETA,6,370,SAGRADA FAMILIA  2
0103375,01,CONCEPCIÓN,03,HORQUETA,6,375,SAN ANTONIO 2
0103380,01,CONCEPCIÓN,03,HORQUETA,6,380,YKUA PORA
0103385,01,CONCEPCIÓN,03,HORQUETA,6,385,NÚCLEO 7
0103390,01,CONCEPCIÓN,03,HORQUETA,6,390,SAN MIGUEL 1
0103395,01,CONCEPCIÓN,03,HORQUETA,6,395,SAN IGNACIO
0103410,01,CONCEPCIÓN,03,HORQUETA,6,410,CAPITÁN SOSA
0103415,01,CONCEPCIÓN,03,HORQUETA,3,415,CAPITÁN SOSA SUB-URBANO
0103420,01,CONCEPCIÓN,03,HORQUETA,6,420,SANTO DOMINGO 2
0103425,01,CONCEPCIÓN,03,HORQUETA,6,425,ALEMÁN KUE
0103430,01,CONCEPCIÓN,03,HORQUETA,6,430,PEGUAHO POTY
0103435,01,CONCEPCIÓN,03,HORQUETA,6,435,COM INDIG PASO ITA
0103440,01,CONCEPCIÓN,03,HORQUETA,6,440,PASO ITA
0103445,01,CONCEPCIÓN,03,HORQUETA,6,445,COM INDIG ÑANDE YVY PAVE
0103450,01,CONCEPCIÓN,03,HORQUETA,6,450,SANTA LIBRADA
0103455,01,CONCEPCIÓN,03,HORQUETA,6,455,SAN JUAN
0103460,01,CONCEPCIÓN,03,HORQUETA,6,460,LAS MERCEDES
0103465,01,CONCEPCIÓN,03,HORQUETA,6,465,COM INDIG KORAI PUNTA SUERTE
0103490,01,CONCEPCIÓN,03,HORQUETA,6,490,ESPAJIN
0103500,01,CONCEPCIÓN,03,HORQUETA,6,500,ARROYO PASITO
0103505,01,CONCEPCIÓN,03,HORQUETA,6,505,NARANJATY VALLE'I
0103520,01,CONCEPCIÓN,03,HORQUETA,6,520,SAN FELIPE
0103530,01,CONCEPCIÓN,03,HORQUETA,6,530,LAGUNA 7
0103550,01,CONCEPCIÓN,03,HORQUETA,6,550,COSTA ROMERO
0103560,01,CONCEPCIÓN,03,HORQUETA,6,560,SANTA ANA
0103590,01,CONCEPCIÓN,03,HORQUETA,6,590,CAPITÁN GIMÉNEZ
0103600,01,CONCEPCIÓN,03,HORQUETA,6,600,TOLDO KUE
0103620,01,CONCEPCIÓN,03,HORQUETA,6,620,CEPINGO CAÑADA
0103630,01,CONCEPCIÓN,03,HORQUETA,6,630,TOTORA
0103640,01,CONCEPCIÓN,03,HORQUETA,6,640,CUARTELERO
0103650,01,CONCEPCIÓN,03,HORQUETA,6,650,PASO MBUTU
0103660,01,CONCEPCIÓN,03,HORQUETA,6,660,HUGUA PO'I
0103670,01,CONCEPCIÓN,03,HORQUETA,6,670,CALLE 10 ORO VERDE
0103690,01,CONCEPCIÓN,03,HORQUETA,6,690,25 DE ABRIL
0103700,01,CONCEPCIÓN,03,HORQUETA,6,700,CALLE 11 ALEMÁN KUE
0103710,01,CONCEPCIÓN,03,HORQUETA,6,710,CUERO FRESCO
0103720,01,CONCEPCIÓN,03,HORQUETA,6,720,TACUARA
0103730,01,CONCEPCIÓN,03,HORQUETA,6,730,PRIMAVERA
0103740,01,CONCEPCIÓN,03,HORQUETA,6,740,ARROYO DE ORO
0103780,01,CONCEPCIÓN,03,HORQUETA,6,780,SAN RAFAEL
0103790,01,CONCEPCIÓN,03,HORQUETA,6,790,SAN BLAS
0103830,01,CONCEPCIÓN,03,HORQUETA,6,830,NÚCLEO 4
0103840,01,CONCEPCIÓN,03,HORQUETA,6,840,NÚCLEO 2
0103850,01,CONCEPCIÓN,03,HORQUETA,6,850,NÚCLEO 3
0103860,01,CONCEPCIÓN,03,HORQUETA,6,860,NÚCLEO 5
0103880,01,CONCEPCIÓN,03,HORQUETA,6,880,CHOFERES DEL CHACO
0103890,01,CONCEPCIÓN,03,HORQUETA,6,890,CAÑADA SAN JUAN
0103900,01,CONCEPCIÓN,03,HORQUETA,6,900,ARROYITO
0103910,01,CONCEPCIÓN,03,HORQUETA,6,910,COM INDIG ISLA SAKA Y AKA'I
0103940,01,CONCEPCIÓN,03,HORQUETA,6,940,PEGUAHO PO'I
0104001,01,CONCEPCIÓN,04,LORETO,1,001,FÁTIMA
0104002,01,CONCEPCIÓN,04,LORETO,1,002,SANTO DOMINGO
0104003,01,CONCEPCIÓN,04,LORETO,1,003,CENTRO
0104004,01,CONCEPCIÓN,04,LORETO,1,004,SAN FRANCISCO
0104005,01,CONCEPCIÓN,04,LORETO,1,005,NAZARETH
0104100,01,CONCEPCIÓN,04,LORETO,6,100,LAS PALMAS
0104120,01,CONCEPCIÓN,04,LORETO,6,120,SAN JOSÉMI
0104140,01,CONCEPCIÓN,04,LORETO,6,140,YKUA HOVY
0104150,01,CONCEPCIÓN,04,LORETO,6,150,ZANJA KUE ROSARIO
0104160,01,CONCEPCIÓN,04,LORETO,6,160,VILLA DON BOSCO
0104180,01,CONCEPCIÓN,04,LORETO,6,180,SANTA LIBRADA
0104190,01,CONCEPCIÓN,04,LORETO,6,190,YKUA PORA
0104200,01,CONCEPCIÓN,04,LORETO,6,200,VIRGEN DEL CAMINO
0104210,01,CONCEPCIÓN,04,LORETO,6,210,HUGUA PO'I
0104230,01,CONCEPCIÓN,04,LORETO,6,230,HUGUA TORALES SAN ROQUE
0104240,01,CONCEPCIÓN,04,LORETO,6,240,SAN VICENTE
0104260,01,CONCEPCIÓN,04,LORETO,6,260,HUGUA GUASU
0104270,01,CONCEPCIÓN,04,LORETO,6,270,HUGUA BONETE
0104280,01,CONCEPCIÓN,04,LORETO,6,280,ISLERIA
0104290,01,CONCEPCIÓN,04,LORETO,6,290,SANTO DOMINGO 1
0104300,01,CONCEPCIÓN,04,LORETO,6,300,LAGUNA CRISTO REY
0104310,01,CONCEPCIÓN,04,LORETO,6,310,ANDERI
0104320,01,CONCEPCIÓN,04,LORETO,6,320,CAÑADA LA PAZ
0104330,01,CONCEPCIÓN,04,LORETO,6,330,COSTA FLORIDA
0104340,01,CONCEPCIÓN,04,LORETO,6,340,FÁTIMA
0104350,01,CONCEPCIÓN,04,LORETO,6,350,PERPETUO SOCORRO
0104360,01,CONCEPCIÓN,04,LORETO,6,360,CAÑADA LOURDES
0104370,01,CONCEPCIÓN,04,LORETO,6,370,SAN VICENTE-VIRGEN DEL CARMEN
0104380,01,CONCEPCIÓN,04,LORETO,6,380,LAGUNA MBOHAPY
0104390,01,CONCEPCIÓN,04,LORETO,6,390,HUGUA TORALES SAN MARCOS
0104400,01,CONCEPCIÓN,04,LORETO,6,400,HUGUA BONETE VIRGEN DEL CARMEN
0104410,01,CONCEPCIÓN,04,LORETO,6,410,HUGUA BONETE DE LA ASUNCIÓN
0104420,01,CONCEPCIÓN,04,LORETO,6,420,ASENT. SANTO DOMINGO
0104430,01,CONCEPCIÓN,04,LORETO,6,430,CERRITO NARANJATY
0104440,01,CONCEPCIÓN,04,LORETO,6,440,ASENT. SANTO DOMINGO - 8 DE DICIEMBRE
0104450,01,CONCEPCIÓN,04,LORETO,6,450,ASENT. SANTO DOMINGO - DIVINO NIÑO JESÚS
0104460,01,CONCEPCIÓN,04,LORETO,6,460,SAN MIGUEL
0104470,01,CONCEPCIÓN,04,LORETO,6,470,HUGUA PO'I SAN RAFAEL
0104480,01,CONCEPCIÓN,04,LORETO,6,480,PIRITY SAN CARLOS
0104490,01,CONCEPCIÓN,04,LORETO,6,490,CULANTRILLO
0104500,01,CONCEPCIÓN,04,LORETO,6,500,SAN ROQUE
0104510,01,CONCEPCIÓN,04,LORETO,6,510,LAGUNA CABECERA
0104520,01,CONCEPCIÓN,04,LORETO,6,520,SANTO DOMINGO 2
0104530,01,CONCEPCIÓN,04,LORETO,6,530,ZANJA KUE FÁTIMA
0104540,01,CONCEPCIÓN,04,LORETO,6,540,POTRERO TACUARA
0104550,01,CONCEPCIÓN,04,LORETO,6,550,DOMINGUEZ NIGO
0104560,01,CONCEPCIÓN,04,LORETO,6,560,PASO SENDA
0105001,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,1,001,SAGRADA FAMILIA
0105002,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,1,002,VISTA ALEGRE
0105003,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,1,003,SAN ROQUE
0105004,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,1,004,CENTRO
0105100,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,6,100,ESTANCIA  ARRECIFE
0105110,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,6,110,PASO BRAVO
0105120,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,6,120,ZONA SAN CARLOS
0105130,01,CONCEPCIÓN,05,SAN CARLOS DEL APA,6,130,ZONA DE ESTANCIAS
0106001,01,CONCEPCIÓN,06,SAN LÁZARO,1,001,SAN ANTONIO
